,contributor,season,city,climate_zone,building_type,gender,age,height_cm,weight_kg,thermal_sensation,thermal_acceptability,clothing_insulation,metabolic_rate,mean_radiant_temperature,pmv_ce,ppd_ce,ta_l,ta,ta_h,vel_l,vel,vel_h,rh,tg_l,tg,tg_h,to,year,country,coolingsys,latitude,longitude,class,vel_m,tg_m,DFilled,EFilled,PFilled,PMVFill,source
10100,South China University of Technology,summer,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,male,30.0,172.0,60.0,3.0,4.0,0.27,1.2,37.2,3.78,100.0,34.9,34.9,34.9,0.39,0.39,0.39,55.0,35.8,35.8,35.8,36.0,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.39,35.8,0.0,0.0,0.0,0.0,CN
10110,South China University of Technology,summer,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,female,70.0,157.0,50.0,3.0,4.0,0.29,1.2,30.0,1.49,50.34,30.7,30.7,30.7,0.11,0.11,0.11,46.0,30.3,30.3,30.3,30.3,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.11,30.3,0.0,0.0,0.0,0.0,CN
10120,South China University of Technology,summer,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,male,50.0,175.0,65.0,3.0,3.0,0.27,1.2,30.0,1.61,56.87,31.3,31.3,31.3,0.22,0.22,0.22,57.0,30.7,30.7,30.7,30.7,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.22,30.7,0.0,0.0,0.0,0.0,CN
10130,South China University of Technology,summer,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,female,20.0,153.0,55.0,0.0,2.0,0.27,1.2,28.7,0.81,19.09,29.6,29.6,29.6,0.73,0.73,0.73,89.0,29.3,29.3,29.3,29.1,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.73,29.3,0.0,0.0,0.0,0.0,CN
10140,South China University of Technology,summer,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,female,70.0,154.0,45.0,1.0,2.0,0.27,1.2,29.7,1.88,71.11,32.0,32.0,32.0,0.85,0.85,0.85,86.0,31.3,31.3,31.3,30.9,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.85,31.3,0.0,0.0,0.0,0.0,CN
10150,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,male,50.0,178.0,69.5,2.0,3.0,0.27,1.2,30.3,1.59,55.92,31.4,31.4,31.4,1.07,1.07,1.07,79.0,31.1,31.1,31.1,30.9,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,1.07,31.1,0.0,0.0,0.0,0.0,CN
10160,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,female,65.0,157.0,53.5,3.0,3.0,0.29,1.2,34.7,3.03,99.24,33.9,33.9,33.9,0.13,0.13,0.13,54.0,34.3,34.3,34.3,34.3,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.13,34.3,0.0,0.0,0.0,0.0,CN
10170,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,female,40.0,162.0,59.0,3.0,3.0,0.27,1.2,31.5,1.81,67.74,30.9,30.9,30.9,0.21,0.21,0.21,61.0,31.2,31.2,31.2,31.2,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.21,31.2,0.0,0.0,0.0,0.0,CN
10180,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,female,30.0,173.0,54.0,-2.0,2.0,0.27,1.2,26.6,0.25,6.3,26.8,26.8,26.8,0.12,0.12,0.12,65.0,26.7,26.7,26.7,26.7,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.12,26.7,0.0,0.0,0.0,0.0,CN
10190,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,male,30.0,177.0,64.0,3.0,5.0,0.25,1.2,35.3,3.11,99.49,33.7,33.7,33.7,0.45,0.45,0.45,56.0,34.3,34.3,34.3,34.5,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.45,34.3,0.0,0.0,0.0,0.0,CN
10200,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,male,20.0,158.0,49.0,3.0,5.0,0.14,1.2,31.4,2.01,77.22,33.1,33.1,33.1,0.91,0.91,0.91,46.0,32.6,32.6,32.6,32.3,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.91,32.6,0.0,0.0,0.0,0.0,CN
10210,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,male,30.0,171.0,61.0,3.0,4.0,0.29,1.2,38.9,5.35,100.0,38.2,38.2,38.2,1.12,1.12,1.12,44.0,38.4,38.4,38.4,38.6,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,1.12,38.4,0.0,0.0,0.0,0.0,CN
10220,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,male,40.0,158.0,57.0,3.0,4.0,0.27,1.2,40.3,5.85,100.0,38.1,38.1,38.1,1.17,1.17,1.17,60.0,38.7,38.7,38.7,39.2,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,1.17,38.7,0.0,0.0,0.0,0.0,CN
10230,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,male,30.0,168.0,58.0,0.0,2.0,0.27,1.2,28.7,1.18,34.68,28.7,28.7,28.7,0.16,0.16,0.16,97.0,28.7,28.7,28.7,28.7,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.16,28.7,0.0,0.0,0.0,0.0,CN
10240,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,male,40.0,172.0,60.0,3.0,4.0,0.29,1.2,36.5,3.39,99.91,33.9,33.9,33.9,0.62,0.62,0.62,60.0,34.8,34.8,34.8,35.2,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.62,34.8,0.0,0.0,0.0,0.0,CN
10250,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,male,30.0,165.0,53.5,3.0,4.0,0.27,1.2,39.7,4.44,100.0,35.9,35.9,35.9,0.32,0.32,0.32,49.0,37.5,37.5,37.5,37.8,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.32,37.5,0.0,0.0,0.0,0.0,CN
10260,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,male,60.0,164.0,44.5,0.0,2.0,0.29,1.2,37.2,5.09,100.0,38.2,38.2,38.2,0.88,0.88,0.88,51.0,37.9,37.9,37.9,37.7,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.88,37.9,0.0,0.0,0.0,0.0,CN
10270,South China University of Technology,summer,"Guangdong, Jieyang",Hot summer and warm winter zone ,residential,female,60.0,166.0,52.0,3.0,4.0,0.27,1.2,37.5,4.58,100.0,36.9,36.9,36.9,0.64,0.64,0.64,52.0,37.1,37.1,37.1,37.2,2015.0,china,Naturally Ventilated,23.3044037,116.1492097,II,0.64,37.1,0.0,0.0,0.0,0.0,CN
10280,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,73.0,155.0,65.0,0.0,2.0,0.37,1.2,31.7,2.18,84.25,30.9,30.9,30.9,0.21,0.21,0.21,86.0,31.3,31.3,31.3,31.3,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.21,31.3,0.0,0.0,0.0,0.0,CN
10290,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,45.0,166.0,60.0,1.0,3.0,0.36,1.2,32.2,2.19,84.53,31.0,31.0,31.0,0.31,0.31,0.31,86.0,31.5,31.5,31.5,31.6,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.31,31.5,0.0,0.0,0.0,0.0,CN
10300,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,45.0,158.0,65.0,0.0,2.0,0.36,1.2,27.1,0.87,21.26,27.8,27.8,27.8,0.03,0.03,0.03,71.0,27.3,27.3,27.3,27.4,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.03,27.3,0.0,0.0,0.0,0.0,CN
10310,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,male,45.0,178.0,70.0,1.0,3.0,0.36,1.2,32.0,2.31,88.7,32.2,32.2,32.2,0.27,0.27,0.27,67.0,32.1,32.1,32.1,32.1,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.27,32.1,0.0,0.0,0.0,0.0,CN
10320,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,23.0,168.0,60.0,0.0,2.0,0.27,1.2,30.0,1.77,65.79,29.7,29.7,29.7,0.06,0.06,0.06,87.0,29.9,29.9,29.9,29.9,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.06,29.9,0.0,0.0,0.0,0.0,CN
10330,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,23.0,157.0,50.0,1.0,3.0,0.27,1.2,30.2,1.54,53.12,29.3,29.3,29.3,0.13,0.13,0.13,83.0,29.8,29.8,29.8,29.8,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.13,29.8,0.0,0.0,0.0,0.0,CN
10340,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,male,24.0,173.0,60.0,1.0,2.0,0.36,1.2,31.9,2.38,90.55,31.7,31.7,31.7,0.23,0.23,0.23,85.0,31.8,31.8,31.8,31.8,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.23,31.8,0.0,0.0,0.0,0.0,CN
10350,South China University of Technology,summer,"Guangdong, Lianzhou",Hot summer and warm winter zone ,residential,female,35.0,155.0,60.0,2.0,3.0,0.35,1.2,27.7,0.89,21.94,27.4,27.4,27.4,0.02,0.02,0.02,74.0,27.6,27.6,27.6,27.5,2015.0,china,Naturally Ventilated,24.9377373,112.4818454,II,0.02,27.6,0.0,0.0,0.0,0.0,CN
10360,South China University of Technology,summer,"Guangdong, Lianzhou",Hot summer and warm winter zone ,residential,male,46.0,165.0,65.0,0.0,2.0,0.32,1.2,28.7,0.88,21.48,28.1,28.1,28.1,0.17,0.17,0.17,70.0,28.4,28.4,28.4,28.4,2015.0,china,Naturally Ventilated,24.9377373,112.4818454,II,0.17,28.4,0.0,0.0,0.0,0.0,CN
10370,South China University of Technology,summer,"Guangdong, Lianzhou",Hot summer and warm winter zone ,residential,male,45.0,167.0,56.0,1.0,3.0,0.41,1.2,30.7,1.48,49.95,30.1,30.1,30.1,0.58,0.58,0.58,72.0,30.3,30.3,30.3,30.4,2015.0,china,Naturally Ventilated,24.9377373,112.4818454,II,0.58,30.3,0.0,0.0,0.0,0.0,CN
10380,South China University of Technology,summer,"Guangdong, Lianzhou",Hot summer and warm winter zone ,residential,male,31.0,178.0,68.0,1.0,2.0,0.41,1.2,27.8,1.08,29.92,27.8,27.8,27.8,0.07,0.07,0.07,74.0,27.8,27.8,27.8,27.8,2015.0,china,Naturally Ventilated,24.9377373,112.4818454,II,0.07,27.8,0.0,0.0,0.0,0.0,CN
10390,South China University of Technology,summer,"Guangdong, Lianzhou",Hot summer and warm winter zone ,residential,female,45.0,160.0,60.0,1.0,3.0,0.46,1.2,28.9,0.86,20.73,28.6,28.6,28.6,0.58,0.58,0.58,69.0,28.7,28.7,28.7,28.7,2015.0,china,Naturally Ventilated,24.9377373,112.4818454,II,0.58,28.7,0.0,0.0,0.0,0.0,CN
10400,South China University of Technology,summer,"Guangdong, Lianzhou",Hot summer and warm winter zone ,residential,male,25.0,178.0,70.0,-1.0,2.0,0.42,1.2,28.7,0.77,17.71,28.4,28.4,28.4,0.5,0.5,0.5,72.0,28.5,28.5,28.5,28.5,2015.0,china,Naturally Ventilated,24.9377373,112.4818454,II,0.5,28.5,0.0,0.0,0.0,0.0,CN
10410,South China University of Technology,summer,"Guangdong, Lianzhou",Hot summer and warm winter zone ,residential,female,35.0,162.0,55.0,0.0,2.0,0.21,1.2,28.1,0.27,6.57,27.7,27.7,27.7,0.26,0.26,0.26,73.0,27.9,27.9,27.9,27.9,2015.0,china,Naturally Ventilated,24.9377373,112.4818454,II,0.26,27.9,0.0,0.0,0.0,0.0,CN
10420,South China University of Technology,summer,"Guangdong, Lianzhou",Hot summer and warm winter zone ,residential,male,59.0,160.0,53.0,0.0,2.0,0.41,1.2,27.9,0.38,7.96,27.4,27.4,27.4,0.49,0.49,0.49,73.0,27.6,27.6,27.6,27.7,2015.0,china,Naturally Ventilated,24.9377373,112.4818454,II,0.49,27.6,0.0,0.0,0.0,0.0,CN
10430,South China University of Technology,summer,"Guangdong, Lianzhou",Hot summer and warm winter zone ,residential,female,55.0,165.0,55.0,0.0,2.0,0.45,1.2,31.4,2.08,80.28,31.4,31.4,31.4,0.34,0.34,0.34,70.0,31.4,31.4,31.4,31.4,2015.0,china,Naturally Ventilated,24.9377373,112.4818454,II,0.34,31.4,0.0,0.0,0.0,0.0,CN
10440,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,male,35.0,167.0,60.0,0.0,3.0,0.36,1.2,29.7,1.19,34.78,29.7,29.7,29.7,0.48,0.48,0.48,71.0,29.7,29.7,29.7,29.7,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.48,29.7,0.0,0.0,0.0,0.0,CN
10450,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,16.0,156.0,43.0,1.0,3.0,0.27,1.2,33.3,2.54,94.34,32.7,32.7,32.7,0.18,0.18,0.18,57.0,33.0,33.0,33.0,33.0,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.18,33.0,0.0,0.0,0.0,0.0,CN
10460,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,male,46.0,178.0,70.0,1.0,3.0,0.36,1.2,31.8,1.94,74.2,30.9,30.9,30.9,0.29,0.29,0.29,68.0,31.3,31.3,31.3,31.4,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.29,31.3,0.0,0.0,0.0,0.0,CN
10470,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,55.0,153.0,63.0,2.0,2.0,0.42,1.2,25.1,0.15,5.5,27.1,27.1,27.1,0.35,0.35,0.35,81.0,26.3,26.3,26.3,26.1,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.35,26.3,0.0,0.0,0.0,0.0,CN
10480,South China University of Technology,summer,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,25.0,157.0,45.0,0.0,2.0,0.36,1.2,27.3,0.61,12.97,28.3,28.3,28.3,0.37,0.37,0.37,82.0,27.9,27.9,27.9,27.8,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.37,27.9,0.0,0.0,0.0,0.0,CN
10490,South China University of Technology,summer,"Guangdong, Qingyuan",Hot summer and warm winter zone ,residential,female,73.0,155.0,50.0,-1.0,2.0,0.86,1.2,19.6,-2.13,82.6,17.7,17.7,17.7,1.33,1.33,1.33,55.0,18.2,18.2,18.2,18.7,2015.0,china,Naturally Ventilated,23.7224008,113.09809071499804,II,1.33,18.2,0.0,0.0,0.0,0.0,CN
10500,South China University of Technology,summer,"Guangdong, Qingyuan",Hot summer and warm winter zone ,residential,male,12.0,142.0,32.0,0.0,2.0,0.69,1.2,19.0,-0.95,24.29,19.8,19.8,19.8,0.08,0.08,0.08,71.0,19.3,19.3,19.3,19.4,2015.0,china,Naturally Ventilated,23.7224008,113.09809071499804,II,0.08,19.3,0.0,0.0,0.0,0.0,CN
10510,South China University of Technology,summer,"Guangdong, Qingyuan",Hot summer and warm winter zone ,residential,female,23.0,152.0,50.0,-1.0,2.0,0.8,1.2,18.3,-1.03,27.58,18.1,18.1,18.1,0.07,0.07,0.07,72.0,18.2,18.2,18.2,18.2,2015.0,china,Naturally Ventilated,23.7224008,113.09809071499804,II,0.07,18.2,0.0,0.0,0.0,0.0,CN
10520,South China University of Technology,summer,"Guangdong, Qingyuan",Hot summer and warm winter zone ,residential,male,37.0,160.0,55.0,0.0,2.0,0.46,1.2,23.6,-0.28,6.58,24.1,24.1,24.1,0.09,0.09,0.09,56.0,23.8,23.8,23.8,23.8,2015.0,china,Naturally Ventilated,23.7224008,113.09809071499804,II,0.09,23.8,0.0,0.0,0.0,0.0,CN
10530,South China University of Technology,summer,"Guangdong, Qingyuan",Hot summer and warm winter zone ,residential,female,40.0,155.0,53.0,2.0,2.0,0.96,1.2,20.3,-0.15,5.48,20.5,20.5,20.5,0.01,0.01,0.01,76.0,20.3,20.3,20.3,20.4,2015.0,china,Naturally Ventilated,23.7224008,113.09809071499804,II,0.01,20.3,0.0,0.0,0.0,0.0,CN
10540,South China University of Technology,summer,"Guangdong, Qingyuan",Hot summer and warm winter zone ,residential,female,34.0,157.0,54.0,2.0,2.0,0.37,1.2,19.9,-1.28,39.32,22.7,22.7,22.7,0.12,0.12,0.12,73.0,21.2,21.2,21.2,21.3,2015.0,china,Naturally Ventilated,23.7224008,113.09809071499804,II,0.12,21.2,0.0,0.0,0.0,0.0,CN
10550,South China University of Technology,summer,"Guangdong, Qingyuan",Hot summer and warm winter zone ,residential,female,34.0,153.0,48.0,-1.0,2.0,0.86,1.2,21.7,0.14,5.39,23.1,23.1,23.1,0.05,0.05,0.05,64.0,22.2,22.2,22.2,22.4,2015.0,china,Naturally Ventilated,23.7224008,113.09809071499804,II,0.05,22.2,0.0,0.0,0.0,0.0,CN
10560,South China University of Technology,summer,"Guangdong, Dongguan",Hot summer and warm winter zone ,residential,male,48.0,168.0,78.0,0.0,2.0,0.36,1.2,24.4,-0.16,5.53,24.9,24.9,24.9,0.02,0.02,0.02,67.0,24.5,24.5,24.5,24.6,2015.0,china,Naturally Ventilated,23.0833755,114.0236824,II,0.02,24.5,0.0,0.0,0.0,0.0,CN
10570,South China University of Technology,summer,"Guangdong, Dongguan",Hot summer and warm winter zone ,residential,female,10.0,158.0,45.0,-2.0,3.0,0.71,1.2,24.9,0.48,9.83,25.7,25.7,25.7,0.18,0.18,0.18,65.0,25.3,25.3,25.3,25.3,2015.0,china,Naturally Ventilated,23.0833755,114.0236824,II,0.18,25.3,0.0,0.0,0.0,0.0,CN
10580,South China University of Technology,transition,"Guangdong, Guangzhou",Hot summer and warm winter zone ,residential,male,21.0,171.0,59.0,2.0,3.0,0.4,1.2,23.2,-0.39,8.25,23.1,23.1,23.1,0.03,0.03,0.03,98.0,23.2,23.2,23.2,23.2,2015.0,china,Naturally Ventilated,23.14246595,113.4060277474339,II,0.03,23.2,0.0,0.0,0.0,0.0,CN
10590,South China University of Technology,transition,"Guangdong, Guangzhou",Hot summer and warm winter zone ,residential,male,17.0,164.0,50.0,1.0,3.0,0.43,1.2,23.4,-0.39,8.22,22.9,22.9,22.9,0.06,0.06,0.06,89.0,23.2,23.2,23.2,23.1,2015.0,china,Naturally Ventilated,23.14246595,113.4060277474339,II,0.06,23.2,0.0,0.0,0.0,0.0,CN
10600,South China University of Technology,transition,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,male,63.0,162.0,44.0,-3.0,3.0,1.07,1.2,19.7,-1.15,33.17,18.9,18.9,18.9,1.39,1.39,1.39,70.0,19.1,19.1,19.1,19.3,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,1.39,19.1,0.0,0.0,0.0,0.0,CN
10610,South China University of Technology,transition,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,male,63.0,152.0,48.0,-1.0,3.0,1.18,1.2,22.0,-0.23,6.08,21.6,21.6,21.6,1.69,1.69,1.69,76.0,21.7,21.7,21.7,21.8,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,1.69,21.7,0.0,0.0,0.0,0.0,CN
10620,South China University of Technology,transition,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,male,38.0,168.0,60.0,-1.0,2.0,0.46,1.2,21.9,-2.49,93.2,21.9,21.9,21.9,1.31,1.31,1.31,80.0,21.9,21.9,21.9,21.9,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,1.31,21.9,0.0,0.0,0.0,0.0,CN
10630,South China University of Technology,transition,"Guangdong, Jiangmen",Hot summer and warm winter zone ,residential,male,20.0,168.0,54.0,-3.0,2.0,0.53,1.2,21.5,-0.93,23.33,21.9,21.9,21.9,0.19,0.19,0.19,83.0,21.7,21.7,21.7,21.7,2015.0,china,Naturally Ventilated,22.663757,112.8065463,II,0.19,21.7,0.0,0.0,0.0,0.0,CN
10640,South China University of Technology,transition,"Guangdong, Jiangmen",Hot summer and warm winter zone ,residential,male,26.0,168.0,57.0,-1.0,2.0,0.36,1.2,22.4,-0.94,23.77,22.3,22.3,22.3,0.03,0.03,0.03,74.0,22.4,22.4,22.4,22.4,2015.0,china,Naturally Ventilated,22.663757,112.8065463,II,0.03,22.4,0.0,0.0,0.0,0.0,CN
10650,South China University of Technology,transition,"Guangdong, Jiangmen",Hot summer and warm winter zone ,residential,female,45.0,168.0,60.0,0.0,2.0,0.42,1.2,22.1,-0.82,19.19,22.2,22.2,22.2,0.04,0.04,0.04,78.0,22.1,22.1,22.1,22.1,2015.0,china,Naturally Ventilated,22.663757,112.8065463,II,0.04,22.1,0.0,0.0,0.0,0.0,CN
10660,South China University of Technology,transition,"Guangdong, Jiangmen",Hot summer and warm winter zone ,residential,female,51.0,162.0,55.0,-1.0,2.0,0.3,1.2,21.4,-1.36,43.58,21.7,21.7,21.7,0.09,0.09,0.09,88.0,21.5,21.5,21.5,21.5,2015.0,china,Naturally Ventilated,22.663757,112.8065463,II,0.09,21.5,0.0,0.0,0.0,0.0,CN
10670,South China University of Technology,transition,"Guangdong, Jiangmen",Hot summer and warm winter zone ,residential,male,52.0,160.0,55.0,0.0,2.0,0.3,1.2,22.2,-3.86,100.0,21.1,21.1,21.1,1.14,1.14,1.14,73.0,21.4,21.4,21.4,21.6,2015.0,china,Naturally Ventilated,22.663757,112.8065463,II,1.14,21.4,0.0,0.0,0.0,0.0,CN
10680,South China University of Technology,transition,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,female,30.0,163.0,51.0,0.0,2.0,0.4,1.2,21.7,-1.3,40.28,21.9,21.9,21.9,0.16,0.16,0.16,65.0,21.8,21.8,21.8,21.8,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.16,21.8,0.0,0.0,0.0,0.0,CN
10690,South China University of Technology,transition,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,male,50.0,170.0,62.5,-1.0,3.0,0.87,1.2,17.3,-1.04,28.03,17.6,17.6,17.6,0.05,0.05,0.05,73.0,17.4,17.4,17.4,17.4,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.05,17.4,0.0,0.0,0.0,0.0,CN
10700,South China University of Technology,transition,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,female,30.0,155.0,47.0,1.0,3.0,0.74,1.2,17.7,-1.31,40.92,18.1,18.1,18.1,0.13,0.13,0.13,74.0,17.9,17.9,17.9,17.9,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.13,17.9,0.0,0.0,0.0,0.0,CN
10710,South China University of Technology,transition,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,male,70.0,172.0,52.0,3.0,3.0,0.85,1.2,22.4,0.26,6.41,22.7,22.7,22.7,0.02,0.02,0.02,83.0,22.5,22.5,22.5,22.6,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.02,22.5,0.0,0.0,0.0,0.0,CN
10720,South China University of Technology,transition,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,male,30.0,176.0,62.0,0.0,2.0,0.51,1.2,20.4,-1.11,31.01,20.4,20.4,20.4,0.01,0.01,0.01,82.0,20.4,20.4,20.4,20.4,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.01,20.4,0.0,0.0,0.0,0.0,CN
10730,South China University of Technology,transition,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,male,50.0,178.0,55.0,0.0,2.0,0.79,1.2,15.8,-2.2,85.06,16.7,16.7,16.7,0.34,0.34,0.34,45.0,16.3,16.3,16.3,16.3,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.34,16.3,0.0,0.0,0.0,0.0,CN
10740,South China University of Technology,transition,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,male,40.0,169.0,60.0,0.0,2.0,0.67,1.2,22.8,-2.73,97.14,17.4,17.4,17.4,1.17,1.17,1.17,51.0,18.9,18.9,18.9,20.1,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,1.17,18.9,0.0,0.0,0.0,0.0,CN
10750,South China University of Technology,transition,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,20.0,153.0,47.0,0.0,2.0,0.82,1.2,17.5,-1.24,37.52,17.6,17.6,17.6,0.05,0.05,0.05,51.0,17.5,17.5,17.5,17.5,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.05,17.5,0.0,0.0,0.0,0.0,CN
10760,South China University of Technology,transition,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,30.0,160.0,48.0,1.0,3.0,0.74,1.2,21.4,-0.31,6.97,21.3,21.3,21.3,0.12,0.12,0.12,87.0,21.4,21.4,21.4,21.4,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.12,21.4,0.0,0.0,0.0,0.0,CN
10770,South China University of Technology,transition,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,50.0,160.0,62.5,1.0,2.0,0.37,1.2,22.9,-0.67,14.52,23.0,23.0,23.0,0.06,0.06,0.06,78.0,22.9,22.9,22.9,23.0,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.06,22.9,0.0,0.0,0.0,0.0,CN
10780,South China University of Technology,transition,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,male,60.0,168.0,75.0,0.0,2.0,0.42,1.2,20.9,-1.17,34.05,21.0,21.0,21.0,0.01,0.01,0.01,88.0,20.9,20.9,20.9,20.9,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.01,20.9,0.0,0.0,0.0,0.0,CN
10790,South China University of Technology,transition,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,female,65.0,152.0,35.0,0.0,2.0,0.73,1.2,21.9,-0.09,5.17,21.9,21.9,21.9,0.02,0.02,0.02,90.0,21.9,21.9,21.9,21.9,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.02,21.9,0.0,0.0,0.0,0.0,CN
10800,South China University of Technology,transition,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,male,50.0,165.0,70.0,2.0,2.0,0.62,1.2,19.8,-1.41,46.18,19.8,19.8,19.8,0.2,0.2,0.2,59.0,19.8,19.8,19.8,19.8,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.2,19.8,0.0,0.0,0.0,0.0,CN
10810,South China University of Technology,transition,"Guangdong, Heyuan",Hot summer and warm winter zone ,residential,male,70.0,163.0,40.0,0.0,2.0,0.52,1.2,26.5,-0.55,11.39,23.4,23.4,23.4,0.53,0.53,0.53,87.0,24.6,24.6,24.6,25.0,2015.0,china,Naturally Ventilated,23.7572227,114.7347207,II,0.53,24.6,0.0,0.0,0.0,0.0,CN
10820,South China University of Technology,transition,"Guangdong, Chaozhou",Hot summer and warm winter zone ,residential,female,30.0,155.0,67.5,0.0,2.0,0.88,1.2,17.5,-1.24,37.48,18.8,18.8,18.8,0.3,0.3,0.3,68.0,18.3,18.3,18.3,18.2,2015.0,china,Naturally Ventilated,23.656593,116.6204223,II,0.3,18.3,0.0,0.0,0.0,0.0,CN
